날짜,"선물국채3년_외국인거래량
(매수)","선물국채3년_외국인거래량
(매도)"
2017/10/25,"39,012","32,803"
2017/10/24,"42,904","49,491"
2017/10/23,"48,996","45,251"
2017/10/20,"62,104","64,516"
2017/10/19,"64,012","68,066"
2017/10/18,"19,637","20,544"
2017/10/17,"24,341","25,295"
2017/10/16,"31,951","33,505"
2017/10/13,"22,598","27,435"
2017/10/12,"23,343","28,364"
2017/10/11,"30,679","32,972"
2017/10/10,"31,943","48,664"
2017/09/29,"22,832","34,092"
2017/09/28,"26,610","35,225"
2017/09/27,"53,451","68,131"
2017/09/26,"37,220","50,881"
2017/09/25,"14,677","14,507"
2017/09/22,"19,895","20,633"
2017/09/21,"18,652","19,952"
2017/09/20,"27,865","30,631"
2017/09/19,"65,343","78,283"
2017/09/18,"139,956","128,645"
2017/09/15,"121,645","107,142"
2017/09/14,"39,255","33,124"
2017/09/13,"26,868","23,845"
2017/09/12,"20,031","17,630"
2017/09/11,"16,800","12,223"
2017/09/08,"31,715","32,922"
2017/09/07,"18,890","18,805"
2017/09/06,"23,633","21,636"
2017/09/05,"21,802","24,021"
2017/09/04,"47,410","40,655"
2017/09/01,"28,892","20,910"
2017/08/31,"48,390","44,031"
2017/08/30,"21,457","19,726"
2017/08/29,"31,729","28,035"
2017/08/28,"21,470","18,926"
2017/08/25,"74,987","45,840"
2017/08/24,"16,164","16,931"
2017/08/23,"20,402","21,578"
2017/08/22,"18,618","23,443"
2017/08/21,"11,479","12,393"
2017/08/18,"17,326","17,571"
2017/08/17,"30,108","25,825"
2017/08/16,"21,309","24,125"
2017/08/14,"18,050","26,541"
2017/08/11,"36,164","46,948"
2017/08/10,"55,283","72,727"
2017/08/09,"49,151","61,458"
2017/08/08,"36,413","43,371"
2017/08/07,"12,401","21,765"
2017/08/04,"7,675","9,431"
2017/08/03,"10,171","11,411"
2017/08/02,"5,662","8,024"
2017/08/01,"6,794","4,508"
2017/07/31,"10,626","5,684"
2017/07/28,"12,857","12,694"
2017/07/27,"17,778","16,000"
2017/07/26,"7,919","10,065"
2017/07/25,"12,793","9,373"
2017/07/24,"17,606","8,613"
2017/07/21,"26,700","17,368"
2017/07/20,"8,444","8,645"
